Name,Parent,Description
"Book",,
"Policy Document",,
"Conference Paper",,
"Evaluation Report",,
"Journal Article",,
"Website",,
"Administration",,
"Case Study",,
"Guideline",,
"Template",,
"Newsletter/Brochure",,
"Presentations",,
"Facilitators Resource",,
"Learning Activity",,
"Module",,
"Presentation",,
"Project Document",,
"Report",,
"Research Report/Article",,
"Background Document",,
"Student Developed Resource",,
"Student/Learner Resource",,
"Useful Link",,
"Useful Resource",,
