Name,Parent,Description
"CC – Attribution No",,
"CC – Attribution Share Alike",,
"CC – Attribution-No Derivatives",,
"CC – Attribution-Non Commercial",,
"CC – Attribution-Non Commercial - No Derivatives",,
"CC – Attribution-Non Commercial - Share Alike",,
"Full Copyright – All rights reserved",,
"Unknown",,
