Entity,Code,Year,SDG Regions,UNESCO Regions
United States Minor Outlying Islands,UMI,2024,Oceania,Asia and the Pacific
United States Virgin Islands,VIR,2024,Latin America and the Caribbean,Latin America and the Caribbean
Uruguay,URY,2024,Latin America and the Caribbean,Latin America and the Caribbean
Uzbekistan,UZB,2024,Central and Southern Asia,Asia and the Pacific
Vanuatu,VUT,2024,Oceania,Asia and the Pacific
Vatican,VAT,2024,Europe and Northern America,Europe and Northern America
Venezuela,VEN,2024,Latin America and the Caribbean,Latin America and the Caribbean
Vietnam,VNM,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Wallis and Futuna,WLF,2024,Oceania,Asia and the Pacific
Western Sahara,ESH,2024,Northern Africa and Western Asia,Arab States
Yemen,YEM,2024,Northern Africa and Western Asia,Arab States
Zambia,ZMB,2024,Sub-Saharan Africa,Africa
Zimbabwe,ZWE,2024,Sub-Saharan Africa,Africa
